Catalpas;Jean Vachet;Maréchal Leclerc;Bellevue;Primevères;Pâquerettes;Porto;Léon Cordès;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
6:30;6:30;6:31;6:32;6:33;6:33;6:34;6:35;6:37;6:37;6:38;6:39
7:00;7:00;7:02;7:04;7:05;7:05;7:06;7:07;7:09;7:09;7:10;7:11
7:30;7:30;7:32;7:34;7:35;7:35;7:36;7:37;7:39;7:39;7:40;7:41
8:00;8:00;8:02;8:04;8:05;8:05;8:06;8:08;8:10;8:10;8:11;8:12
8:30;8:30;8:32;8:34;8:35;8:35;8:36;8:38;8:40;8:40;8:41;8:42
9:00;9:00;9:02;9:04;9:05;9:05;9:06;9:08;9:10;9:10;9:11;9:12
9:30;9:30;9:32;9:34;9:35;9:35;9:36;9:38;9:40;9:40;9:41;9:42
10:00;10:00;10:02;10:04;10:05;10:05;10:06;10:07;10:09;10:09;10:10;10:11
10:30;10:30;10:32;10:34;10:35;10:35;10:36;10:37;10:39;10:39;10:40;10:41
11:00;11:00;11:02;11:04;11:05;11:05;11:06;11:07;11:09;11:09;11:10;11:11
11:30;11:30;11:32;11:34;11:35;11:35;11:36;11:37;11:39;11:39;11:40;11:41
12:00;12:00;12:02;12:04;12:05;12:05;12:06;12:07;12:09;12:09;12:10;12:11
12:30;12:30;12:32;12:34;12:35;12:35;12:36;12:37;12:39;12:39;12:40;12:41
13:00;13:00;13:02;13:04;13:05;13:05;13:06;13:07;13:09;13:09;13:10;13:11
13:30;13:30;13:32;13:34;13:35;13:35;13:36;13:38;13:40;13:40;13:41;13:42
14:00;14:00;14:02;14:04;14:05;14:05;14:06;14:07;14:09;14:09;14:10;14:11
14:30;14:30;14:32;14:34;14:35;14:35;14:36;14:37;14:39;14:39;14:40;14:41
15:00;15:00;15:02;15:04;15:05;15:05;15:06;15:07;15:09;15:09;15:10;15:11
15:30;15:30;15:32;15:34;15:35;15:35;15:36;15:37;15:39;15:39;15:40;15:41
16:00;16:00;16:02;16:04;16:05;16:05;16:06;16:07;16:09;16:09;16:10;16:11
16:30;16:30;16:32;16:34;16:35;16:35;16:36;16:38;16:40;16:40;16:41;16:42
17:00;17:00;17:02;17:04;17:05;17:05;17:06;17:08;17:10;17:10;17:11;17:12
17:35;17:35;17:37;17:39;17:40;17:40;17:41;17:43;17:45;17:45;17:46;17:47
18:05;18:05;18:07;18:09;18:10;18:10;18:11;18:13;18:15;18:15;18:16;18:17
18:35;18:35;18:37;18:39;18:40;18:40;18:41;18:43;18:45;18:45;18:46;18:47
19:05;19:05;19:07;19:09;19:10;19:10;19:11;19:12;19:14;19:14;19:15;19:16
19:35;19:35;19:36;19:38;19:39;19:39;19:40;19:41;19:43;19:43;19:44;19:45
